model,raw,reward,valid_word,consistent,repeated,solved,guess
pre_rl_sft,CRANE,0.0566055930568949,True,False,False,False,CRANE
pre_rl_sft,CRANE,0.0566055930568949,True,False,False,False,CRANE
pre_rl_sft,CRAZY,0.09656836461126007,True,False,False,False,CRAZY
pre_rl_sft,CRANE,0.0566055930568949,True,False,False,False,CRANE
pre_rl_sft,NodeList,-0.25,False,False,False,False,
pre_rl_sft,PROOF,-0.09999999999999999,True,False,False,False,PROOF
pre_rl_sft,CROFT,-0.25,False,False,False,False,
pre_rl_sft,CURVY,-0.09999999999999999,True,False,False,False,CURVY
pre_rl_sft,CYBER,0.24286408730467807,True,True,False,False,CYBER
pre_rl_sft,BRANE,-0.25,False,False,False,False,
pre_rl_sft,BLOOD,0.2021847318326736,True,True,False,False,BLOOD
pre_rl_sft,CHARGE,-0.25,False,False,False,False,
pre_rl_sft,CRAZY,0.027478753541076498,True,False,False,False,CRAZY
pre_rl_sft,CREAM,-0.018048780487804866,True,False,False,False,CREAM
pre_rl_sft,REASON,-0.25,False,False,False,False,
pre_rl_sft,CRANE,0.05569230769230772,True,False,False,False,CRANE
pre_rl_sft,CRUST,-0.30000000000000004,True,False,True,False,CRUST
pre_rl_sft,BRUSH,-0.09999999999999999,True,False,False,False,BRUSH
pre_rl_sft,DROSS,0.020000000000000004,True,False,False,False,DROSS
pre_rl_sft,CRUSH,-0.09999999999999999,True,False,False,False,CRUSH
pre_rl_sft,INEPT,0.06981132075471701,True,False,False,False,INEPT
pre_rl_sft,INEPT,0.06981132075471701,True,False,False,False,INEPT
pre_rl_sft,PINEY,-0.03513513513513514,True,False,False,False,PINEY
pre_rl_sft,CINEP,-0.25,False,False,False,False,
pre_rl_sft,NEAKY,-0.25,False,False,False,False,
pre_rl_sft,WEAK,-0.25,False,False,False,False,
pre_rl_sft,WEAK,-0.25,False,False,False,False,
pre_rl_sft,NEANT,-0.25,False,False,False,False,
pre_rl_sft,BRANE,-0.25,False,False,False,False,
pre_rl_sft,CRANE,0.2499981340672669,True,True,False,False,CRANE
pre_rl_sft,CRANE,0.2499981340672669,True,True,False,False,CRANE
pre_rl_sft,BLOOD,0.24767526677220936,True,True,False,False,BLOOD
pre_rl_sft,BUTTER,-0.25,False,False,False,False,
pre_rl_sft,LYRIC,0.24179559348984275,True,True,False,False,LYRIC
pre_rl_sft,BRANE,-0.25,False,False,False,False,
pre_rl_sft,CRANE,0.24922497438836094,True,True,False,False,CRANE
pre_rl_sft,CRANE,0.08117647058823531,True,False,False,False,CRANE
pre_rl_sft,CRANE,0.08117647058823531,True,False,False,False,CRANE
pre_rl_sft,RANK,-0.25,False,False,False,False,
pre_rl_sft,CRANE,0.08117647058823531,True,False,False,False,CRANE
pre_rl_sft,SHINE,-0.09999999999999999,True,False,False,False,SHINE
pre_rl_sft,SMITE,-0.09999999999999999,True,False,False,False,SMITE
pre_rl_sft,SWIME,-0.25,False,False,False,False,
pre_rl_sft,SNEPE,-0.25,False,False,False,False,
pre_rl_sft,CRANE,0.248664281525952,True,True,False,False,CRANE
pre_rl_sft,CRAFT,0.24969451763189265,True,True,False,False,CRAFT
pre_rl_sft,CREAN,-0.25,False,False,False,False,
pre_rl_sft,CRANE,0.248664281525952,True,True,False,False,CRANE
pre_rl_sft,MUSHY,0.020000000000000004,True,False,False,False,MUSHY
pre_rl_sft,BLOOM,0.020000000000000004,True,False,False,False,BLOOM
pre_rl_sft,CHUCK,0.020000000000000004,True,False,False,False,CHUCK
pre_rl_sft,CLONE,0.020000000000000004,True,False,False,False,CLONE
pre_rl_sft,DOLLY,-0.06393442622950819,True,False,False,False,DOLLY
